filename,emotion1_w1,emotion2_w1,emotion3_w1,emotion1_w2,emotion2_w2,emotion3_w2,emotion1_w3,emotion2_w3,emotion3_w3,description_w1,description_w2,description_w3,agreement_w1,agreement_w2,agreement_w3
ants_song_combination_1038.wav,Soothing,Playful,Focusing,Sensory-Calming,Playful,Grounding,Playful,Stimulating,Focusing,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",There is a soothing background noise to this song. The beat is playful.,There was a fast rhythm which contrasted from the relaxing wind.  The rhythm made it seem like I was playing a game.,1,1,1
ants_song_combination_1039.wav,Focusing,Soothing,Playful,Soothing,Grounding,Sensory-Calming,Playful,Focusing,Sensory-Calming,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",I like how the melody is slow and calming. Which also makes it very soothing.,"The song has a playful energy that keeps it engaging and uplifting. Its steady rhythm supports focus, making it easy to concentrate without distraction. The sensory-calming tones provide a soothing backdrop that promotes mental clarity and relaxation.",1,1,1
ants_song_combination_1053.wav,Playful,Soothing,Focusing,Playful,Transitional,Stimulating,Playful,Sensory-Calming,Anxiety-Reduction,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",The fast rhythm and higher pitch of the keyboard makes me feel more alert.  The water in the background doesn't make it more relaxing and is in contrast to the fast music.,"This song combines playful and uplifting melodies with calming sensory tones that create a soothing atmosphere. Its gentle rhythm helps reduce anxiety, making it both engaging and comforting. The overall effect is joyful yet peaceful, promoting relaxation and emotional ease.",1,-1,2
ants_song_combination_1054.wav,Soothing,Grounding,Sensory-Calming,Sensory-Calming,Playful,Stimulating,Playful,Sensory-Calming,Anxiety-Reduction,The rythm and the beat makes it soothing and grounding. In turn it means that it is going to be calming as well.,GOOD,"This song blends playful melodies with calming tones to create a joyful yet soothing atmosphere. Its gentle rhythm helps ease anxiety, making it both engaging and comforting. The balance of lightheartedness and relaxation supports emotional well-being.",1,1,1
ants_song_combination_1055.wav,Soothing,Playful,Focusing,Soothing,Grounding,Stimulating,Grounding,Soothing,Transitional,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",There is a slow melody to it that makes it grounding and soothing. Then you have a beat in there that is spd up and makes it stimulating.,"This song has a grounding presence, with steady rhythms that create a sense of stability and support. Its soothing tones promote relaxation, while the smooth transitions guide the listener gently from one section to the next, making it ideal for moments of change or adjustment.",1,1,2
ants_song_combination_1086.wav,Focusing,Playful,Soothing,Playful,Soothing,Sensory-Calming,Sensory-Calming,Grounding,Transitional,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",This is a playful song with a fun and joyful melody. Then you have soothing and calming elements behind it.,"This song features calming sensory elements combined with a steady, grounding rhythm that provides stability. Its smooth transitions guide the listener gently through changes, creating a seamless and comforting flow. Together, these qualities support relaxation and emotional balance.",1,1,1
ants_song_combination_1087.wav,Soothing,Focusing,Playful,Playful,Transitional,Soothing,Sensory-Calming,Playful,Grounding,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",There is that playful element you hear with the loud piano sound. Then you see the transitioning to melody that repeated throughout the sont. Both of them going on is very soothing.,GOOD,1,1,0
ants_song_combination_1101.wav,Soothing,Playful,Sensory-Calming,Soothing,Playful,Focusing,Transitional,Soothing,Playful,The after makes t calming and soothing then you have a playful beat as well as a soothing repeated sound.,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",GOOD,1,1,2
ants_song_combination_1103.wav,Soothing,Playful,Focusing,Playful,Soothing,Grounding,Stimulating,Playful,Sensory-Calming,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",They have a good and playful element to the song that is repeated over and over again. It also creates a soothing and grounding element not to it.,"The song features an upbeat and stimulating rhythm that captures attention and energizes the listener. Its playful melodies add a sense of fun and curiosity, while subtle calming elements provide balance, making it engaging without being overwhelming.",1,1,1
ants_song_combination_1133.wav,Soothing,Playful,Focusing,Soothing,Playful,Sensory-Calming,Sensory-Calming,Anxiety-Reduction,Grounding,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",The melody is very calming and soothing. There is a playful element as you can tell its supposed to be the ant go marching in.,"This song offers soothing sensory-calming tones paired with a steady, grounding rhythm that promotes stability. Its gentle melodies help reduce anxiety, creating a peaceful and reassuring atmosphere. Together, these elements support relaxation and emotional balance.",1,1,2
